"KW","Aboriginal Employment Scheme","ISO2788","0","",""
"BT","EMPLOYMENT CONDITIONS"

"KW","Acceptances","ISO2788","0","",""
"BT","CELEBRATIONS"
"BT","CEREMONIES"
"BT","CONFERENCES"
"BT","EXHIBITIONS"
"BT","FUNCTIONS (social)"
"BT","VISITS"

"KW","Access","ISO2788","0","",""
"BT","CUSTOMER SERVICE"
"BT","DATA ADMINISTRATION"
"BT","PRIVACY"
"BT","SECURITY"
"RT","After Hours Support"
"RT","Management Information Systems (MIS)"
"ST","Access Conditions"
"ST","Entry (to premises, etc)"

"KW","Access and Equity","ISO2788","0","",""
"BT","COMMITTEES"
"BT","GRIEVANCES"
"BT","IMPLEMENTATION"
"BT","MEETINGS"
"BT","PLANNING"
"BT","POLICY"
"BT","PROCEDURES"
"RT","Affirmative Action"
"RT","Anti-Discrimination"
"RT","Disability Plans"
"RT","Equal Employment Opportunity (EEO)"
"SN","Provision of service and access that is fair and impartial. Includes"
"SN","programs designed to improve access to services provided by the organisation"
"SN","for disadvantaged clients and employees."

"ST","Access Conditions","ISO2788","0","",""
"UF","Access"

"KW","Accident Report Forms","ISO2788","0","",""
"BT","ACCIDENTS"
"BT","CLAIMS"
"BT","PROCEDURES"

"KW","ACCIDENTS","ISO2788","0","",""
"BT","COMPENSATION"
"BT","FLEET MANAGEMENT"
"BT","OCCUPATIONAL HEALTH & SAFETY (OH&S)"
"NT","Accident Report Forms"
"NT","Vehicles"
"ST","Injuries"
"SN","The activities involved in dealing with mishaps causing injury or damage."
"SN","Includes damage or injury to the organisation's property or member of staff"
"SN","incurred while coming to, at, or leaving work, or to the general public or"
"SN","visitors whilst on the organisation's premises. Also includes measures to"
"SN","prevent accidents occurring. See COMPENSATION - CASES for situations where"
"SN","personal injury may result in a compensation claim, and the case should be"
"SN","handled on one file for legislative or operational reasons. Copy accident"
"SN","information and place on compensation file. Add the name of the individual"
"SN","as free text. If the individual is not an employee of the organisation, add"
"SN","the subject descriptor Visitors, then the name of the individual as free"
"SN","text. See INSURANCE for the process of taking out insurance premiums. See"
"SN","CLAIMS for managing the damage or destruction of property caused by"
"SN","accidents."

"KW","Accountable Books & Forms","ISO2788","0","",""
"BT","ACCOUNTING"
"BT","AUDIT"
"SN","Documents including books and forms, which reflect that items have been sold"
"SN","or purchased and are therefore subject to audit regulations."

"KW","ACCOUNTING","ISO2788","0","",""
"BT","FINANCIAL MANAGEMENT"
"NT","Accountable Books & Forms"
"NT","Accrual"
"NT","Advances (financial)"
"NT","Arrears (payment)"
"NT","Balance Sheets"
"NT","Bank Accounts"
"NT","Banking"
"NT","Cash Books"
"NT","Cheques"
"NT","Consolidated Capital Fund (capital assets)"
"NT","Consolidated Recurrent Fund (non-capital assets)"
"NT","Consolidated Returns"
"NT","Consolidated Revenue"
"NT","Debts"
"NT","Expenditure"
"NT","Invoices"
"NT","Ledgers"
"NT","Misappropriations"
"NT","Petty Cash (accounting)"
"NT","Postal Expenses"
"NT","Public Moneys"
"NT","Receipts"
"NT","Reconciliations"
"NT","Remittances"
"NT","Revenue"
"NT","Signatories"
"NT","Tax"
"NT","Vouchers"
"RT","AUTHORISATION"
